num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
4,Mobile,RoundTrip,33,19,0,F,LTNPRG,United Kingdom,0,0,1,4.76,0
3,Internet,OneWay,127,17,3,S,JFKDXB,France,1,1,0,4.6,0
3,Mobile,OneWay,262,5,1,T,LHRBOM,United Kingdom,0,1,0,11.72,1
2,Internet,RoundTrip,154,4,10,F,LHRBOM,USA,0,0,1,6.09,0
4,Internet,OneWay,62,7,1,W,AUHBOM,United Kingdom,0,0,1,11.63,1
1,Mobile,OneWay,359,10,5,W,JFKDXB,France,1,1,0,9.38,1
2,Mobile,OneWay,73,6,11,M,LHRBOM,UAE,0,1,0,8.59,0
4,Mobile,RoundTrip,31,2,15,S,LTNPRG,France,0,0,0,13.75,1
2,Internet,RoundTrip,139,10,0,T,LTNPRG,India,0,0,0,9.51,1
1,Internet,RoundTrip,41,9,16,S,LHRBOM,India,0,0,0,5.08,1
2,Internet,OneWay,216,7,11,F,JFKDXB,India,0,0,1,14.79,0
2,Mobile,OneWay,159,17,0,T,CDGSYD,USA,1,0,0,6.03,0
3,Internet,RoundTrip,338,6,2,S,AUHBOM,UAE,1,1,0,8.16,0
1,Mobile,RoundTrip,62,18,21,M,LTNPRG,India,0,1,0,6.9,0
2,Internet,RoundTrip,98,1,10,S,LTNPRG,UAE,0,1,1,11.61,0
4,Internet,RoundTrip,250,11,21,W,LHRBOM,USA,0,0,0,8.04,0
1,Internet,OneWay,255,20,11,M,LTNPRG,France,0,0,1,6.55,0
4,Internet,RoundTrip,132,6,3,T,JFKDXB,India,0,1,0,10.42,0
1,Mobile,RoundTrip,336,14,16,T,CDGSYD,USA,1,0,0,8.4,0
2,Internet,RoundTrip,309,15,10,T,LTNPRG,USA,0,0,1,2.23,0
3,Mobile,OneWay,223,7,8,M,CDGSYD,India,1,1,1,10.38,1
4,Internet,OneWay,273,13,4,F,LTNPRG,UAE,1,0,0,4.07,0
2,Mobile,RoundTrip,196,14,10,T,CDGSYD,France,0,1,0,14.49,0
1,Mobile,RoundTrip,172,10,22,W,CDGSYD,USA,0,1,1,11.68,0
4,Mobile,OneWay,199,8,5,T,LTNPRG,United Kingdom,1,1,1,6.86,0
4,Internet,OneWay,308,10,13,S,LHRBOM,India,0,0,1,2.78,0
3,Internet,RoundTrip,6,3,0,S,LHRBOM,India,1,0,1,6.26,1
1,Internet,RoundTrip,37,10,16,T,AUHBOM,UAE,0,0,1,10.47,1
3,Internet,RoundTrip,173,7,20,W,LTNPRG,USA,1,0,1,13.68,1
2,Internet,RoundTrip,212,7,22,S,CDGSYD,USA,1,1,1,11.72,1
2,Mobile,RoundTrip,66,5,18,M,LHRBOM,India,1,0,1,12.01,1
1,Mobile,OneWay,221,11,15,S,AUHBOM,UAE,1,0,1,3.69,0
2,Internet,RoundTrip,9,1,13,W,CDGSYD,UAE,1,0,1,4.98,1
4,Internet,OneWay,90,2,20,T,JFKDXB,USA,1,1,0,12.28,1
1,Internet,RoundTrip,168,5,0,S,LTNPRG,France,1,0,0,6.89,1
4,Internet,RoundTrip,19,12,5,T,LHRBOM,USA,1,0,0,13.16,1
3,Internet,RoundTrip,231,6,1,T,AUHBOM,United Kingdom,1,1,1,2.53,1
3,Internet,RoundTrip,195,10,5,S,LHRBOM,USA,1,1,0,10.02,0
4,Internet,OneWay,206,3,5,S,LHRBOM,India,1,0,0,8.62,0
1,Internet,RoundTrip,187,9,10,W,LHRBOM,USA,1,1,1,12.46,1
4,Internet,RoundTrip,252,10,15,M,JFKDXB,UAE,1,0,0,4.2,1
2,Mobile,OneWay,238,7,20,T,AUHBOM,India,0,0,0,4.58,1
2,Mobile,RoundTrip,241,1,13,S,LTNPRG,India,0,1,1,8.4,0
2,Internet,RoundTrip,78,13,0,M,LHRBOM,USA,1,0,1,9.86,1
3,Mobile,OneWay,251,5,2,T,AUHBOM,France,0,1,0,4.11,0
2,Mobile,RoundTrip,66,10,10,W,JFKDXB,France,0,0,1,13.78,0
4,Internet,RoundTrip,8,15,14,T,LHRBOM,United Kingdom,0,0,0,12.96,1
1,Internet,RoundTrip,356,3,18,T,CDGSYD,United Kingdom,1,0,0,3.63,1
3,Internet,RoundTrip,66,14,8,S,LTNPRG,France,1,0,0,13.04,0
3,Internet,RoundTrip,42,8,4,F,JFKDXB,USA,0,1,1,13.89,0
3,Internet,OneWay,111,11,3,T,CDGSYD,UAE,1,1,1,5.18,0
3,Internet,RoundTrip,364,2,14,S,LTNPRG,United Kingdom,1,0,1,13.24,0
3,Mobile,OneWay,315,10,22,S,JFKDXB,United Kingdom,1,0,1,9.32,0
4,Internet,RoundTrip,263,8,1,F,LHRBOM,India,0,0,1,12.43,1
1,Mobile,RoundTrip,69,4,0,M,AUHBOM,UAE,1,0,1,9.83,1
2,Mobile,RoundTrip,230,11,0,T,LTNPRG,United Kingdom,1,0,0,5.87,0
3,Internet,RoundTrip,304,14,12,S,LHRBOM,France,0,0,0,11.0,0
2,Internet,RoundTrip,124,8,7,T,CDGSYD,USA,1,0,0,11.1,0
4,Internet,OneWay,95,13,18,S,JFKDXB,India,1,0,0,11.38,0
3,Internet,OneWay,316,7,18,M,LHRBOM,United Kingdom,1,0,1,11.88,0
3,Internet,RoundTrip,48,17,11,T,LHRBOM,United Kingdom,0,1,1,10.4,1
1,Internet,RoundTrip,332,6,0,T,AUHBOM,USA,1,0,1,7.64,1
2,Internet,OneWay,175,16,13,M,CDGSYD,UAE,0,0,1,6.32,1
3,Mobile,RoundTrip,263,8,8,W,LHRBOM,India,0,0,1,13.82,0
2,Internet,RoundTrip,136,12,19,S,LTNPRG,France,0,0,1,12.58,1
4,Internet,RoundTrip,259,2,16,M,JFKDXB,UAE,1,1,1,12.86,1
1,Internet,RoundTrip,337,2,22,S,AUHBOM,France,0,1,1,3.19,1
1,Internet,RoundTrip,180,20,8,M,LHRBOM,France,1,0,0,7.28,1
2,Internet,OneWay,78,1,7,M,JFKDXB,India,0,0,0,6.61,0
2,Internet,RoundTrip,29,12,11,M,CDGSYD,UAE,1,0,1,13.39,1
4,Internet,RoundTrip,337,10,18,S,AUHBOM,France,0,0,1,6.31,1
4,Internet,OneWay,364,13,11,T,LTNPRG,UAE,1,1,1,14.22,0
2,Mobile,RoundTrip,238,1,7,M,AUHBOM,France,0,0,1,12.53,0
3,Internet,RoundTrip,6,4,20,S,JFKDXB,India,0,0,0,13.29,1
2,Internet,RoundTrip,323,7,9,F,LHRBOM,France,1,1,1,3.38,1
